ntdid,agency,active,ssw,uza,uza name,modes,tos,jan02,feb02,mar02,apr02,may02,jun02,jul02,aug02,sep02,oct02,nov02,dec02,jan03,feb03,mar03,apr03,may03,jun03,jul03,aug03,sep03,oct03,nov03,dec03,jan04,feb04,mar04,apr04,may04,jun04,jul04,aug04,sep04,oct04,nov04,dec04,jan05,feb05,mar05,apr05,may05,jun05,jul05,aug05,sep05,oct05,nov05,dec05,jan06,feb06,mar06,apr06,may06,jun06,jul06,aug06,sep06,oct06,nov06,dec06,jan07,feb07,mar07,apr07,may07,jun07,jul07,aug07,sep07,oct07,nov07,dec07,jan08,feb08,mar08,apr08,may08,jun08,jul08,aug08,sep08,oct08,nov08,dec08,jan09,feb09,mar09,apr09,may09,jun09,jul09,aug09,sep09,oct09,nov09,dec09,jan10,feb10,mar10,apr10,may10,jun10,jul10,aug10,sep10,oct10,nov10,dec10,jan11,feb11,mar11,apr11,may11,jun11,jul11,aug11,sep11,oct11,nov11,dec11,jan12,feb12,mar12,apr12,may12,jun12,jul12,aug12,sep12,oct12,nov12,dec12,jan13,feb13,mar13,apr13,may13,jun13,jul13,aug13,sep13,oct13,nov13,dec13
4022,Metropolitan Atlanta Rapid Transit Authority,Active,N,9,"Atlanta, GA",DR,DO,"17,347","17,198","18,583","19,056","19,823","18,965","19,649","20,640","19,898","22,232","20,623","20,035","21,488","21,496","23,843","24,029","24,262","23,262","24,540","24,890","24,446","26,646","23,118","24,094","24,502","24,715","28,187","27,510","26,425","27,463","25,780","25,676","24,785","26,866","25,967","26,789","26,877","27,496","32,597","31,486","30,979","30,397","27,409","30,985","30,181","30,608","29,751","28,258","29,840","28,757","34,254","30,151","32,074","31,399","28,645","33,390","30,505","32,250","30,738","28,521","30,898","28,865","32,668","31,228","33,803","31,562","31,532","33,662","31,210","34,820","32,066","29,786","33,839","34,440","36,184","37,829","38,283","35,224","37,234","38,542","39,675","42,634","36,184","38,565","39,735","39,478","42,715","41,748","40,948","42,035","41,434","42,134","41,098","44,111","40,676","40,502","38,825","39,486","46,224","45,208","43,937","44,617","43,006","45,533","44,428","46,107","43,158","43,013","36,305","44,224","50,130","47,299","47,569","48,533","46,537","52,525","49,940","48,135","46,616","46,530","46,579","47,871","50,922","47,877","49,990","47,954","46,753","52,804","45,707","51,865","45,461","43,134","47,498","46,523","52,286","50,377","52,288","47,080","48,511","51,346","48,715","51,232","45,186","43,616"
4022,Metropolitan Atlanta Rapid Transit Authority,Active,N,9,"Atlanta, GA",HR,DO,"6,767,476","6,231,858","6,672,222","6,626,629","7,014,024","6,338,135","6,707,662","6,764,336","6,208,143","7,198,159","5,793,149","5,560,006","5,515,722","5,224,149","6,034,073","5,691,136","5,840,575","5,797,586","6,056,419","5,546,309","5,858,108","6,215,903","5,443,612","5,389,577","5,715,702","4,935,564","5,942,906","5,659,755","5,532,730","6,057,393","6,230,688","6,421,516","6,016,642","6,354,015","5,895,417","5,403,231","5,602,016","5,636,840","6,276,205","5,728,639","5,614,259","5,806,103","6,047,813","6,404,428","5,792,448","6,232,155","5,465,238","5,056,625","5,684,476","5,213,284","6,065,805","5,609,006","5,652,327","5,985,422","6,693,335","6,813,964","6,600,035","6,994,082","6,308,564","6,397,025","6,761,667","6,013,863","6,478,324","6,194,823","6,183,440","6,246,765","7,279,386","7,728,670","7,192,184","7,715,716","7,081,589","6,626,983","6,788,324","6,497,325","6,809,060","7,112,463","7,162,326","7,254,243","7,841,304","7,744,197","7,791,870","7,982,627","6,565,445","6,480,777","6,535,892","6,139,050","6,706,565","6,646,152","6,295,399","6,617,213","7,024,550","6,864,739","6,930,218","7,004,619","6,230,019","6,138,686","6,018,640","5,763,582","6,509,382","6,651,817","6,139,849","6,455,905","6,898,026","6,782,576","6,910,488","6,873,967","6,239,232","5,687,292","5,422,254","5,818,002","6,542,373","6,389,606","6,231,213","6,433,453","6,344,058","6,553,178","6,744,778","6,403,176","5,776,550","5,577,570","5,888,906","5,658,572","6,229,190","5,824,980","5,914,425","5,796,104","5,800,106","6,155,902","6,017,175","6,307,471","5,637,343","5,276,202","5,945,786","5,300,088","5,627,254","6,281,881","5,670,450","5,610,243","5,928,985","6,222,245","6,021,666","6,376,001","5,527,098","5,393,689"
4022,Metropolitan Atlanta Rapid Transit Authority,Active,N,9,"Atlanta, GA",MB,DO,"6,198,411","6,361,296","6,169,576","6,269,814","6,218,632","5,563,151","5,927,260","6,344,570","5,939,076","6,109,728","5,498,560","5,682,274","5,944,843","5,461,080","5,900,209","6,100,893","5,589,135","5,824,966","5,428,790","5,518,593","6,088,652","6,360,604","5,083,762","5,502,996","5,164,541","5,224,814","5,662,195","5,737,243","5,092,599","5,556,935","5,526,123","5,974,197","5,963,458","6,187,784","5,699,594","5,621,630","5,485,155","5,970,540","6,401,824","6,294,526","5,920,455","6,023,579","5,190,402","5,847,826","6,111,447","5,989,743","5,481,976","5,428,844","5,539,186","5,571,347","6,230,212","5,618,062","5,816,621","6,004,986","5,501,959","6,103,170","5,797,247","5,895,316","5,919,083","5,549,378","6,009,143","5,318,340","5,914,122","5,773,663","5,742,112","5,941,051","5,206,605","4,810,972","5,168,429","5,408,337","4,779,943","4,904,599","5,954,800","5,590,626","5,534,962","5,649,984","6,374,108","6,122,887","6,095,591","6,152,117","6,264,361","6,765,962","5,735,511","5,834,207","5,831,633","5,595,113","6,150,614","6,010,040","5,982,106","6,299,154","5,900,979","5,834,959","5,623,770","6,086,617","5,773,265","5,541,056","5,330,981","5,243,720","5,808,973","5,656,965","5,512,994","5,694,610","5,924,498","5,978,238","5,741,716","5,417,394","4,906,157","4,688,061","3,940,313","4,737,239","5,449,725","5,241,184","5,482,437","5,597,642","5,160,353","5,724,059","5,696,145","5,374,667","4,800,547","4,784,914","4,959,955","4,944,406","5,183,456","4,947,715","5,064,337","4,956,173","4,901,399","5,283,222","5,059,553","5,399,901","4,832,403","4,510,372","5,162,366","4,602,209","4,941,374","5,193,666","4,987,805","4,815,487","4,980,132","5,428,398","5,132,654","5,488,344","4,849,500","4,710,293"
4078,Cobb County Department of Transportation Authority,Active,N,9,"Atlanta, GA",DR,PT,"4,729","4,673","4,879","4,974","5,184","5,020","5,230","5,078","4,728","5,531","4,733","4,520","4,849","4,874","5,078","4,974","4,860","5,096","5,158","5,021","5,079","5,457","4,548","4,492","4,593","4,452","5,379","4,895","4,565","4,920","4,792","4,992","4,863","5,060","4,921","4,796","4,803","4,871","5,262","5,204","4,793","5,245","5,127","5,678","5,400","5,736","5,480","5,729","5,815","5,589","6,346","5,670","6,034","5,883","5,114","5,890","5,463","5,816","5,615","5,092","5,901","5,354","6,014","5,675","6,026","5,824","6,003","6,661","6,081","7,410","6,557","5,978","6,757","6,369","6,722","6,927","6,793","6,357","6,879","6,877","6,889","7,389","5,984","6,537","6,477","6,285","7,378","6,981","6,756","6,995","6,671","6,678","6,492","7,015","6,287","6,361","6,151","6,215","7,280","6,998","6,733","6,905","6,761","7,102","7,035","7,383","7,283","6,879","6,241","6,688","7,579","6,769","6,551","6,641","6,255","5,253","5,056","5,145","4,891","5,012","5,036","5,183","5,396","4,997","5,100","4,876","4,715","5,466","4,856","5,669","4,877","4,502","5,065","4,670","4,896","5,052","5,004","4,463","4,741","5,216","4,761","5,109","4,544","4,520"
4078,Cobb County Department of Transportation Authority,Active,N,9,"Atlanta, GA",MB,PT,"225,853","215,398","228,323","235,519","239,202","227,622","245,869","262,644","233,143","269,041","235,687","222,735","232,249","228,472","255,836","272,949","261,407","267,988","282,034","283,246","276,290","299,986","251,103","253,792","260,139","248,135","303,053","292,140","282,117","308,414","312,946","310,697","290,792","318,194","291,506","285,933","287,794","280,194","323,428","320,134","315,068","331,952","313,685","367,428","357,937","370,310","341,852","322,483","330,006","310,229","366,900","353,430","375,766","378,720","359,479","392,136","355,369","369,456","358,341","319,817","354,463","335,730","366,900","376,417","353,586","369,453","364,730","375,934","327,215","375,762","319,548","233,134","385,505","385,111","392,402","412,155","418,630","428,092","453,570","445,006","429,893","439,595","370,899","367,395","361,461","342,347","362,917","369,539","370,592","378,601","384,949","383,478","341,801","391,386","349,812","338,310","333,356","338,835","390,659","396,175","381,862","408,129","418,270","432,060","419,660","432,665","351,362","322,950","289,064","338,889","383,722","370,714","374,495","394,957","367,994","392,910","351,966","340,335","311,946","300,038","306,767","318,298","331,230","304,094","320,110","312,892","300,632","338,718","300,063","317,174","291,755","259,888","295,200","281,731","292,506","319,193","316,781","300,900","313,119","335,260","304,870","341,087","284,104","273,893"
4082,Douglas County Rideshare,Active,N,9,"Atlanta, GA",VP,DO,"4,398","4,271","4,847","4,754","4,408","4,027","4,449","4,749","4,458","4,843","4,015","3,674","4,929","4,642","4,887","4,883","4,715","4,773","5,085","4,768","4,971","5,215","4,169","4,593",,,,"5,722","5,643","6,212","6,295","6,891","6,394","6,515","6,025","5,813","6,752","6,205","7,608","6,902","6,923","7,742","6,709","8,856","9,594","10,134","9,297","8,191","9,486","8,907","9,707","8,868","10,597","10,151","9,304","11,950","9,409","10,051","9,518","7,345","9,646","8,738","9,775","8,692","10,091","9,947","9,892","10,627","9,230","10,967","9,355","7,585","10,584","9,693","10,592","11,365","12,395","14,752","15,767","15,987","16,840","17,829","12,742","12,640","14,937","13,503","15,474","14,195","12,978","14,175","14,783","15,295","14,052","15,781","13,330","13,834","13,483","13,038","16,056","13,750","13,806","14,013","12,772","14,505","14,160","13,740","12,889","11,617","11,914","13,932","16,683","15,353","16,223","16,816","14,936","17,973","16,026","16,045","14,300","14,233","16,896","16,727","17,611","15,789","16,234","15,075","11,522","17,135","15,784","17,873","14,361","12,519","16,722","15,071","15,756","16,276","14,513","13,805","14,315","14,995","14,139","15,036","12,538","16,912"
4135,Georgia Regional Transportation Authority,Active,N,9,"Atlanta, GA",CB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153,282","154,544","159,891","151,390","157,260","148,594","141,948","167,765","145,941","173,363","135,070","102,106","155,191","145,832","149,231","157,169","151,090","140,273","149,645","157,156","151,697","163,035","128,737","117,412"
4135,Georgia Regional Transportation Authority,Active,N,9,"Atlanta, GA",DR,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,223","1,687","1,992","1,879","1,924","18,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4135,Georgia Regional Transportation Authority,Active,N,9,"Atlanta, GA",MB,PT,,,,,,,,,,,,,"274,924","294,095","327,219","336,757","299,747","286,548","302,386","305,722","328,980","303,016","315,688","336,588","575,431","617,389","612,904","711,453","428,442","468,364","431,321","592,335","700,093","696,557","664,939","540,360","527,125","703,532","776,325","744,735","581,741","563,567","518,068","729,021","1,022,586","839,014","806,091","527,548","616,810","525,147","602,407","524,192","534,796","500,193","468,800","380,719","566,534","587,390","528,065","334,131","277,974","293,304","338,152","323,706","291,484","310,075","114,287","131,990","100,142","122,795","136,917","135,000","120,989","120,508","130,934","142,650","142,699","171,961","166,675","159,658","172,343","179,956","118,398","117,583","125,974","119,857","132,531","127,071","111,883","128,241","133,380","125,531","123,261","129,510","109,519","104,176","115,336","118,388","140,929","136,055","125,791","137,496","178,472","131,343","131,580","133,091","155,562","106,133","102,590","129,294","156,514","138,304","144,909","153,217","134,381","168,867","154,291","157,480","141,037","124,357",,,,,,,,,,,,,,,,,,,,,,,,
4135,Georgia Regional Transportation Authority,Active,N,9,"Atlanta, GA",VP,DO,,,,,,,,,,,,,,,,,336,294,181,230,491,344,272,266,"2,582","2,582","2,876","2,991","2,050","2,424","2,798","3,172",0,0,0,0,"25,070","22,226","24,257","16,490","14,862","14,451","11,818","14,325","13,887","13,600","12,385","13,600","116,257","15,999","18,009","15,118","15,534","15,899","13,493","17,594","15,167","15,910","14,161","12,369","15,878","15,024","16,129","14,778","15,534","15,273","14,468","15,320","13,828","16,032","12,054","10,836","14,896","14,900","15,203","15,401","15,319","16,303","15,958","16,659","16,336","17,296","12,605","13,887","14,754","13,682","15,884","13,728","13,974","14,302","14,132","11,163","10,120","10,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4135,Georgia Regional Transportation Authority,Active,N,9,"Atlanta, GA",VP,PT,,,,,,,,,,,,,,"12,453","12,453","12,453","12,453","12,453","14,826","13,087",,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,305","18,717","19,503","20,565","18,162","18,999","18,319","17,378","19,637","24,511","23,788","23,147","26,010","25,997","31,152","27,000","24,950","26,480","24,026","24,505","24,189","22,351","21,700","19,920","20,242","22,001","25,891","23,219","23,957","25,976","23,083","27,728","26,702","25,416","24,368","23,592","25,297","25,669","25,400","25,873","27,492","25,570","25,681",,,,,,,,,,,,,,,,,
4138,Gwinnett County Board of Commissioners,Active,N,9,"Atlanta, GA",CB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,547","56,805","58,025","59,881","55,207","50,931","53,785","58,256","59,546","62,215","49,392","43,239"
4138,Gwinnett County Board of Commissioners,Active,N,9,"Atlanta, GA",DR,PT,,,,,,,,,,,,,,,103,197,241,210,219,203,146,242,217,235,207,171,278,278,284,278,302,358,367,387,315,302,299,297,305,316,378,382,389,466,445,398,451,540,427,485,604,416,726,566,587,614,454,498,560,490,601,615,687,594,736,802,999,"1,199","1,015","1,170","1,136","1,056","1,117","1,087","1,383","1,418","1,392","1,323","1,304","1,381","1,228","1,423","1,099","1,185","1,264","1,268","1,288","1,273","1,045","1,085","1,142","1,234","1,208","1,394","1,236","1,317","1,280","1,382","1,490","1,458","1,383","1,235","1,307","1,373","1,526","1,499","1,589","1,513","1,152","1,496","1,668","1,631","1,532","1,560","1,497","1,788","1,678","1,603","1,411","1,356","1,494","1,627","1,726","1,516","1,659","1,527","1,534","1,791","1,641","1,812","1,616","1,451","1,750","1,661","1,843","1,844","1,870","1,562","1,700","1,903","1,685","2,287","1,971","1,862"
4138,Gwinnett County Board of Commissioners,Active,N,9,"Atlanta, GA",MB,PT,,,,,,,,,,,,,,,,"70,822","74,394","86,062","93,274","94,906","103,573","114,355","96,537","102,636","102,827","102,139","134,715","131,542","125,427","138,420","140,407","146,057","133,424","146,331","135,466","133,956","138,407","136,508","155,658","150,593","155,810","157,116","143,697","173,023","170,076","169,078","159,158","151,226","162,857","152,701","187,500","166,923","173,800","167,861","150,446","169,789","154,765","186,609","160,001","152,789","164,609","146,751","164,880","164,641","176,808","165,773","165,972","195,416","159,592","170,419","157,183","125,313","160,081","153,397","154,658","170,354","177,223","188,501","185,029","195,023","199,721","214,268","161,611","150,611","192,332","187,541","198,452","188,062","176,880","193,999","199,150","203,608","195,744","206,017","187,917","175,039","161,548","158,802","183,107","182,715","168,448","181,752","176,082","189,565","186,749","187,718","171,251","152,334","135,586","173,139","204,068","192,655","193,701","201,773","179,724","215,349","199,575","202,514","186,433","161,879","178,059","174,755","182,481","169,697","169,691","160,588","156,435","181,393","158,546","183,767","157,245","134,482","99,491","81,425","86,736","99,959","102,354","93,020","98,736","106,849","100,504","112,519","87,499","86,363"
4153,"vRide, Inc. - Atlanta",Active,N,9,"Atlanta, GA",VP,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,696","56,110","54,119","24,206","70,312","60,929","33,749","14,835","61,600","85,932","24,090","38,500","98,560","75,480","88,440","47,838","64,144","51,681","69,090","85,238","54,881","64,533","70,400","45,344","61,880","55,200","54,978","56,870","73,794","87,262","108,680","94,999","123,823","146,510","98,472","59,940","91,578","78,305","84,607","78,032","71,349","77,727","75,793","74,320","71,798","73,331","61,656","59,771","67,407","68,531","82,737","75,646","68,914","74,056","69,202","73,897","68,131","64,202","60,408","55,978","55,078","61,556","75,218","65,438","68,113","69,515","62,594","73,879","65,769","65,414","62,958","57,527","67,464","66,507","69,379","64,344","67,091","62,292","61,801","68,971","57,476","66,372","55,316","50,480","65,842","60,058","62,845","67,540","66,300","61,547","65,655","67,114","59,100","54,925","52,141","52,543"
4161,Cherokee County Board of Commissioners,Active,Y,9,"Atlanta, GA",MB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,267","1,294","1,285","1,560","1,700","2,045","2,346","1,980","2,249","2,029","1,425","1,475","1,389","1,374","1,498","1,839","1,640","2,231","2,038","1,717","1,631","1,692","1,575","1,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177,Buckhead Community Improvement District,Active,N,9,"Atlanta, GA",CB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4177,Buckhead Community Improvement District,Active,N,9,"Atlanta, GA",MB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,669","10,125","10,857","10,880","10,335","12,525","12,904","12,110","10,877","12,404","10,813","11,644","11,644","9,335","10,986","9,998","9,644","11,601","11,878","12,052","10,998","11,105","10,114","8,974","7,846","9,681","11,921","11,211","11,108","12,341","11,508","12,907","11,731","12,149","12,176","11,485","11,485","10,429","11,252","10,640","11,411","10,855","9,421","11,003","8,989","11,183","9,569","11,183","9,165","8,812","9,142","10,084","10,364","9,283","10,244","10,354","9,381","8,134","8,105","8,475"
4203,Enterprise Rideshare,Active,N,9,"Atlanta, GA",VP,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,206","22,239","23,671","23,994","24,771","22,040","22,448","23,376","21,247","23,284","17,588","15,771"
