NTDID	Agency	Active	SSW	UZA	UZA Name	Modes	TOS	JAN02	FEB02	MAR02	APR02	MAY02	JUN02	JUL02	AUG02	SEP02	OCT02	NOV02	DEC02	JAN03	FEB03	MAR03	APR03	MAY03	JUN03	JUL03	AUG03	SEP03	OCT03	NOV03	DEC03	JAN04	FEB04	MAR04	APR04	MAY04	JUN04	JUL04	AUG04	SEP04	OCT04	NOV04	DEC04	JAN05	FEB05	MAR05	APR05	MAY05	JUN05	JUL05	AUG05	SEP05	OCT05	NOV05	DEC05	JAN06	FEB06	MAR06	APR06	MAY06	JUN06	JUL06	AUG06	SEP06	OCT06	NOV06	DEC06	JAN07	FEB07	MAR07	APR07	MAY07	JUN07	JUL07	AUG07	SEP07	OCT07	NOV07	DEC07	JAN08	FEB08	MAR08	APR08	MAY08	JUN08	JUL08	AUG08	SEP08	OCT08	NOV08	DEC08	JAN09	FEB09	MAR09	APR09	MAY09	JUN09	JUL09	AUG09	SEP09	OCT09	NOV09	DEC09	JAN10	FEB10	MAR10	APR10	MAY10	JUN10	JUL10	AUG10	SEP10	OCT10	NOV10	DEC10	JAN11	FEB11	MAR11	APR11	MAY11	JUN11	JUL11	AUG11	SEP11	OCT11	NOV11	DEC11	JAN12	FEB12	MAR12	APR12	MAY12	JUN12	JUL12	AUG12	SEP12	OCT12	NOV12	DEC12	JAN13	FEB13	MAR13	APR13	MAY13	JUN13	JUL13	AUG13	SEP13	OCT13	NOV13	DEC13
4022	Metropolitan Atlanta Rapid Transit Authority	Active	N	9	Atlanta, GA	DR	DO	17347.00	17198.00	18583.00	19056.00	19823.00	18965.00	19649.00	20640.00	19898.00	22232.00	20623.00	20035.00	21488.00	21496.00	23843.00	24029.00	24262.00	23262.00	24540.00	24890.00	24446.00	26646.00	23118.00	24094.00	24502.00	24715.00	28187.00	27510.00	26425.00	27463.00	25780.00	25676.00	24785.00	26866.00	25967.00	26789.00	26877.00	27496.00	32597.00	31486.00	30979.00	30397.00	27409.00	30985.00	30181.00	30608.00	29751.00	28258.00	29840.00	28757.00	34254.00	30151.00	32074.00	31399.00	28645.00	33390.00	30505.00	32250.00	30738.00	28521.00	30898.00	28865.00	32668.00	31228.00	33803.00	31562.00	31532.00	33662.00	31210.00	34820.00	32066.00	29786.00	33839.00	34440.00	36184.00	37829.00	38283.00	35224.00	37234.00	38542.00	39675.00	42634.00	36184.00	38565.00	39735.00	39478.00	42715.00	41748.00	40948.00	42035.00	41434.00	42134.00	41098.00	44111.00	40676.00	40502.00	38825.00	39486.00	46224.00	45208.00	43937.00	44617.00	43006.00	45533.00	44428.00	46107.00	43158.00	43013.00	36305.00	44224.00	50130.00	47299.00	47569.00	48533.00	46537.00	52525.00	49940.00	48135.00	46616.00	46530.00	46579.00	47871.00	50922.00	47877.00	49990.00	47954.00	46753.00	52804.00	45707.00	51865.00	45461.00	43134.00	47498.00	46523.00	52286.00	50377.00	52288.00	47080.00	48511.00	51346.00	48715.00	51232.00	45186.00	43616.00
4022	Metropolitan Atlanta Rapid Transit Authority	Active	N	9	Atlanta, GA	HR	DO	6767476.00	6231858.00	6672222.00	6626629.00	7014024.00	6338135.00	6707662.00	6764336.00	6208143.00	7198159.00	5793149.00	5560006.00	5515722.00	5224149.00	6034073.00	5691136.00	5840575.00	5797586.00	6056419.00	5546309.00	5858108.00	6215903.00	5443612.00	5389577.00	5715702.00	4935564.00	5942906.00	5659755.00	5532730.00	6057393.00	6230688.00	6421516.00	6016642.00	6354015.00	5895417.00	5403231.00	5602016.00	5636840.00	6276205.00	5728639.00	5614259.00	5806103.00	6047813.00	6404428.00	5792448.00	6232155.00	5465238.00	5056625.00	5684476.00	5213284.00	6065805.00	5609006.00	5652327.00	5985422.00	6693335.00	6813964.00	6600035.00	6994082.00	6308564.00	6397025.00	6761667.00	6013863.00	6478324.00	6194823.00	6183440.00	6246765.00	7279386.00	7728670.00	7192184.00	7715716.00	7081589.00	6626983.00	6788324.00	6497325.00	6809060.00	7112463.00	7162326.00	7254243.00	7841304.00	7744197.00	7791870.00	7982627.00	6565445.00	6480777.00	6535892.00	6139050.00	6706565.00	6646152.00	6295399.00	6617213.00	7024550.00	6864739.00	6930218.00	7004619.00	6230019.00	6138686.00	6018640.00	5763582.00	6509382.00	6651817.00	6139849.00	6455905.00	6898026.00	6782576.00	6910488.00	6873967.00	6239232.00	5687292.00	5422254.00	5818002.00	6542373.00	6389606.00	6231213.00	6433453.00	6344058.00	6553178.00	6744778.00	6403176.00	5776550.00	5577570.00	5888906.00	5658572.00	6229190.00	5824980.00	5914425.00	5796104.00	5800106.00	6155902.00	6017175.00	6307471.00	5637343.00	5276202.00	5945786.00	5300088.00	5627254.00	6281881.00	5670450.00	5610243.00	5928985.00	6222245.00	6021666.00	6376001.00	5527098.00	5393689.00
4022	Metropolitan Atlanta Rapid Transit Authority	Active	N	9	Atlanta, GA	MB	DO	6198411.00	6361296.00	6169576.00	6269814.00	6218632.00	5563151.00	5927260.00	6344570.00	5939076.00	6109728.00	5498560.00	5682274.00	5944843.00	5461080.00	5900209.00	6100893.00	5589135.00	5824966.00	5428790.00	5518593.00	6088652.00	6360604.00	5083762.00	5502996.00	5164541.00	5224814.00	5662195.00	5737243.00	5092599.00	5556935.00	5526123.00	5974197.00	5963458.00	6187784.00	5699594.00	5621630.00	5485155.00	5970540.00	6401824.00	6294526.00	5920455.00	6023579.00	5190402.00	5847826.00	6111447.00	5989743.00	5481976.00	5428844.00	5539186.00	5571347.00	6230212.00	5618062.00	5816621.00	6004986.00	5501959.00	6103170.00	5797247.00	5895316.00	5919083.00	5549378.00	6009143.00	5318340.00	5914122.00	5773663.00	5742112.00	5941051.00	5206605.00	4810972.00	5168429.00	5408337.00	4779943.00	4904599.00	5954800.00	5590626.00	5534962.00	5649984.00	6374108.00	6122887.00	6095591.00	6152117.00	6264361.00	6765962.00	5735511.00	5834207.00	5831633.00	5595113.00	6150614.00	6010040.00	5982106.00	6299154.00	5900979.00	5834959.00	5623770.00	6086617.00	5773265.00	5541056.00	5330981.00	5243720.00	5808973.00	5656965.00	5512994.00	5694610.00	5924498.00	5978238.00	5741716.00	5417394.00	4906157.00	4688061.00	3940313.00	4737239.00	5449725.00	5241184.00	5482437.00	5597642.00	5160353.00	5724059.00	5696145.00	5374667.00	4800547.00	4784914.00	4959955.00	4944406.00	5183456.00	4947715.00	5064337.00	4956173.00	4901399.00	5283222.00	5059553.00	5399901.00	4832403.00	4510372.00	5162366.00	4602209.00	4941374.00	5193666.00	4987805.00	4815487.00	4980132.00	5428398.00	5132654.00	5488344.00	4849500.00	4710293.00
4078	Cobb County Department of Transportation Authority	Active	N	9	Atlanta, GA	DR	PT	4729.00	4673.00	4879.00	4974.00	5184.00	5020.00	5230.00	5078.00	4728.00	5531.00	4733.00	4520.00	4849.00	4874.00	5078.00	4974.00	4860.00	5096.00	5158.00	5021.00	5079.00	5457.00	4548.00	4492.00	4593.00	4452.00	5379.00	4895.00	4565.00	4920.00	4792.00	4992.00	4863.00	5060.00	4921.00	4796.00	4803.00	4871.00	5262.00	5204.00	4793.00	5245.00	5127.00	5678.00	5400.00	5736.00	5480.00	5729.00	5815.00	5589.00	6346.00	5670.00	6034.00	5883.00	5114.00	5890.00	5463.00	5816.00	5615.00	5092.00	5901.00	5354.00	6014.00	5675.00	6026.00	5824.00	6003.00	6661.00	6081.00	7410.00	6557.00	5978.00	6757.00	6369.00	6722.00	6927.00	6793.00	6357.00	6879.00	6877.00	6889.00	7389.00	5984.00	6537.00	6477.00	6285.00	7378.00	6981.00	6756.00	6995.00	6671.00	6678.00	6492.00	7015.00	6287.00	6361.00	6151.00	6215.00	7280.00	6998.00	6733.00	6905.00	6761.00	7102.00	7035.00	7383.00	7283.00	6879.00	6241.00	6688.00	7579.00	6769.00	6551.00	6641.00	6255.00	5253.00	5056.00	5145.00	4891.00	5012.00	5036.00	5183.00	5396.00	4997.00	5100.00	4876.00	4715.00	5466.00	4856.00	5669.00	4877.00	4502.00	5065.00	4670.00	4896.00	5052.00	5004.00	4463.00	4741.00	5216.00	4761.00	5109.00	4544.00	4520.00
4078	Cobb County Department of Transportation Authority	Active	N	9	Atlanta, GA	MB	PT	225853.00	215398.00	228323.00	235519.00	239202.00	227622.00	245869.00	262644.00	233143.00	269041.00	235687.00	222735.00	232249.00	228472.00	255836.00	272949.00	261407.00	267988.00	282034.00	283246.00	276290.00	299986.00	251103.00	253792.00	260139.00	248135.00	303053.00	292140.00	282117.00	308414.00	312946.00	310697.00	290792.00	318194.00	291506.00	285933.00	287794.00	280194.00	323428.00	320134.00	315068.00	331952.00	313685.00	367428.00	357937.00	370310.00	341852.00	322483.00	330006.00	310229.00	366900.00	353430.00	375766.00	378720.00	359479.00	392136.00	355369.00	369456.00	358341.00	319817.00	354463.00	335730.00	366900.00	376417.00	353586.00	369453.00	364730.00	375934.00	327215.00	375762.00	319548.00	233134.00	385505.00	385111.00	392402.00	412155.00	418630.00	428092.00	453570.00	445006.00	429893.00	439595.00	370899.00	367395.00	361461.00	342347.00	362917.00	369539.00	370592.00	378601.00	384949.00	383478.00	341801.00	391386.00	349812.00	338310.00	333356.00	338835.00	390659.00	396175.00	381862.00	408129.00	418270.00	432060.00	419660.00	432665.00	351362.00	322950.00	289064.00	338889.00	383722.00	370714.00	374495.00	394957.00	367994.00	392910.00	351966.00	340335.00	311946.00	300038.00	306767.00	318298.00	331230.00	304094.00	320110.00	312892.00	300632.00	338718.00	300063.00	317174.00	291755.00	259888.00	295200.00	281731.00	292506.00	319193.00	316781.00	300900.00	313119.00	335260.00	304870.00	341087.00	284104.00	273893.00
4082	Douglas County Rideshare	Active	N	9	Atlanta, GA	VP	DO	4398.00	4271.00	4847.00	4754.00	4408.00	4027.00	4449.00	4749.00	4458.00	4843.00	4015.00	3674.00	4929.00	4642.00	4887.00	4883.00	4715.00	4773.00	5085.00	4768.00	4971.00	5215.00	4169.00	4593.00				5722.00	5643.00	6212.00	6295.00	6891.00	6394.00	6515.00	6025.00	5813.00	6752.00	6205.00	7608.00	6902.00	6923.00	7742.00	6709.00	8856.00	9594.00	10134.00	9297.00	8191.00	9486.00	8907.00	9707.00	8868.00	10597.00	10151.00	9304.00	11950.00	9409.00	10051.00	9518.00	7345.00	9646.00	8738.00	9775.00	8692.00	10091.00	9947.00	9892.00	10627.00	9230.00	10967.00	9355.00	7585.00	10584.00	9693.00	10592.00	11365.00	12395.00	14752.00	15767.00	15987.00	16840.00	17829.00	12742.00	12640.00	14937.00	13503.00	15474.00	14195.00	12978.00	14175.00	14783.00	15295.00	14052.00	15781.00	13330.00	13834.00	13483.00	13038.00	16056.00	13750.00	13806.00	14013.00	12772.00	14505.00	14160.00	13740.00	12889.00	11617.00	11914.00	13932.00	16683.00	15353.00	16223.00	16816.00	14936.00	17973.00	16026.00	16045.00	14300.00	14233.00	16896.00	16727.00	17611.00	15789.00	16234.00	15075.00	11522.00	17135.00	15784.00	17873.00	14361.00	12519.00	16722.00	15071.00	15756.00	16276.00	14513.00	13805.00	14315.00	14995.00	14139.00	15036.00	12538.00	16912.00
4135	Georgia Regional Transportation Authority	Active	N	9	Atlanta, GA	CB	PT																																																																																																																									153282.00	154544.00	159891.00	151390.00	157260.00	148594.00	141948.00	167765.00	145941.00	173363.00	135070.00	102106.00	155191.00	145832.00	149231.00	157169.00	151090.00	140273.00	149645.00	157156.00	151697.00	163035.00	128737.00	117412.00
4135	Georgia Regional Transportation Authority	Active	N	9	Atlanta, GA	DR	PT																																																													1223.00	1687.00	1992.00	1879.00	1924.00	18889.00																																																																														
4135	Georgia Regional Transportation Authority	Active	N	9	Atlanta, GA	MB	PT													274924.00	294095.00	327219.00	336757.00	299747.00	286548.00	302386.00	305722.00	328980.00	303016.00	315688.00	336588.00	575431.00	617389.00	612904.00	711453.00	428442.00	468364.00	431321.00	592335.00	700093.00	696557.00	664939.00	540360.00	527125.00	703532.00	776325.00	744735.00	581741.00	563567.00	518068.00	729021.00	1022586.00	839014.00	806091.00	527548.00	616810.00	525147.00	602407.00	524192.00	534796.00	500193.00	468800.00	380719.00	566534.00	587390.00	528065.00	334131.00	277974.00	293304.00	338152.00	323706.00	291484.00	310075.00	114287.00	131990.00	100142.00	122795.00	136917.00	135000.00	120989.00	120508.00	130934.00	142650.00	142699.00	171961.00	166675.00	159658.00	172343.00	179956.00	118398.00	117583.00	125974.00	119857.00	132531.00	127071.00	111883.00	128241.00	133380.00	125531.00	123261.00	129510.00	109519.00	104176.00	115336.00	118388.00	140929.00	136055.00	125791.00	137496.00	178472.00	131343.00	131580.00	133091.00	155562.00	106133.00	102590.00	129294.00	156514.00	138304.00	144909.00	153217.00	134381.00	168867.00	154291.00	157480.00	141037.00	124357.00																								
4135	Georgia Regional Transportation Authority	Active	N	9	Atlanta, GA	VP	DO																	336.00	294.00	181.00	230.00	491.00	344.00	272.00	266.00	2582.00	2582.00	2876.00	2991.00	2050.00	2424.00	2798.00	3172.00	0.00	0.00	0.00	0.00	25070.00	22226.00	24257.00	16490.00	14862.00	14451.00	11818.00	14325.00	13887.00	13600.00	12385.00	13600.00	116257.00	15999.00	18009.00	15118.00	15534.00	15899.00	13493.00	17594.00	15167.00	15910.00	14161.00	12369.00	15878.00	15024.00	16129.00	14778.00	15534.00	15273.00	14468.00	15320.00	13828.00	16032.00	12054.00	10836.00	14896.00	14900.00	15203.00	15401.00	15319.00	16303.00	15958.00	16659.00	16336.00	17296.00	12605.00	13887.00	14754.00	13682.00	15884.00	13728.00	13974.00	14302.00	14132.00	11163.00	10120.00	10115.00																																																		
4135	Georgia Regional Transportation Authority	Active	N	9	Atlanta, GA	VP	PT														12453.00	12453.00	12453.00	12453.00	12453.00	14826.00	13087.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00																																																	12305.00	18717.00	19503.00	20565.00	18162.00	18999.00	18319.00	17378.00	19637.00	24511.00	23788.00	23147.00	26010.00	25997.00	31152.00	27000.00	24950.00	26480.00	24026.00	24505.00	24189.00	22351.00	21700.00	19920.00	20242.00	22001.00	25891.00	23219.00	23957.00	25976.00	23083.00	27728.00	26702.00	25416.00	24368.00	23592.00	25297.00	25669.00	25400.00	25873.00	27492.00	25570.00	25681.00																	
4138	Gwinnett County Board of Commissioners	Active	N	9	Atlanta, GA	CB	PT																																																																																																																																					60547.00	56805.00	58025.00	59881.00	55207.00	50931.00	53785.00	58256.00	59546.00	62215.00	49392.00	43239.00
4138	Gwinnett County Board of Commissioners	Active	N	9	Atlanta, GA	DR	PT															103.00	197.00	241.00	210.00	219.00	203.00	146.00	242.00	217.00	235.00	207.00	171.00	278.00	278.00	284.00	278.00	302.00	358.00	367.00	387.00	315.00	302.00	299.00	297.00	305.00	316.00	378.00	382.00	389.00	466.00	445.00	398.00	451.00	540.00	427.00	485.00	604.00	416.00	726.00	566.00	587.00	614.00	454.00	498.00	560.00	490.00	601.00	615.00	687.00	594.00	736.00	802.00	999.00	1199.00	1015.00	1170.00	1136.00	1056.00	1117.00	1087.00	1383.00	1418.00	1392.00	1323.00	1304.00	1381.00	1228.00	1423.00	1099.00	1185.00	1264.00	1268.00	1288.00	1273.00	1045.00	1085.00	1142.00	1234.00	1208.00	1394.00	1236.00	1317.00	1280.00	1382.00	1490.00	1458.00	1383.00	1235.00	1307.00	1373.00	1526.00	1499.00	1589.00	1513.00	1152.00	1496.00	1668.00	1631.00	1532.00	1560.00	1497.00	1788.00	1678.00	1603.00	1411.00	1356.00	1494.00	1627.00	1726.00	1516.00	1659.00	1527.00	1534.00	1791.00	1641.00	1812.00	1616.00	1451.00	1750.00	1661.00	1843.00	1844.00	1870.00	1562.00	1700.00	1903.00	1685.00	2287.00	1971.00	1862.00
4138	Gwinnett County Board of Commissioners	Active	N	9	Atlanta, GA	MB	PT																70822.00	74394.00	86062.00	93274.00	94906.00	103573.00	114355.00	96537.00	102636.00	102827.00	102139.00	134715.00	131542.00	125427.00	138420.00	140407.00	146057.00	133424.00	146331.00	135466.00	133956.00	138407.00	136508.00	155658.00	150593.00	155810.00	157116.00	143697.00	173023.00	170076.00	169078.00	159158.00	151226.00	162857.00	152701.00	187500.00	166923.00	173800.00	167861.00	150446.00	169789.00	154765.00	186609.00	160001.00	152789.00	164609.00	146751.00	164880.00	164641.00	176808.00	165773.00	165972.00	195416.00	159592.00	170419.00	157183.00	125313.00	160081.00	153397.00	154658.00	170354.00	177223.00	188501.00	185029.00	195023.00	199721.00	214268.00	161611.00	150611.00	192332.00	187541.00	198452.00	188062.00	176880.00	193999.00	199150.00	203608.00	195744.00	206017.00	187917.00	175039.00	161548.00	158802.00	183107.00	182715.00	168448.00	181752.00	176082.00	189565.00	186749.00	187718.00	171251.00	152334.00	135586.00	173139.00	204068.00	192655.00	193701.00	201773.00	179724.00	215349.00	199575.00	202514.00	186433.00	161879.00	178059.00	174755.00	182481.00	169697.00	169691.00	160588.00	156435.00	181393.00	158546.00	183767.00	157245.00	134482.00	99491.00	81425.00	86736.00	99959.00	102354.00	93020.00	98736.00	106849.00	100504.00	112519.00	87499.00	86363.00
4153	vRide, Inc. - Atlanta	Active	N	9	Atlanta, GA	VP	DO																																																	3696.00	56110.00	54119.00	24206.00	70312.00	60929.00	33749.00	14835.00	61600.00	85932.00	24090.00	38500.00	98560.00	75480.00	88440.00	47838.00	64144.00	51681.00	69090.00	85238.00	54881.00	64533.00	70400.00	45344.00	61880.00	55200.00	54978.00	56870.00	73794.00	87262.00	108680.00	94999.00	123823.00	146510.00	98472.00	59940.00	91578.00	78305.00	84607.00	78032.00	71349.00	77727.00	75793.00	74320.00	71798.00	73331.00	61656.00	59771.00	67407.00	68531.00	82737.00	75646.00	68914.00	74056.00	69202.00	73897.00	68131.00	64202.00	60408.00	55978.00	55078.00	61556.00	75218.00	65438.00	68113.00	69515.00	62594.00	73879.00	65769.00	65414.00	62958.00	57527.00	67464.00	66507.00	69379.00	64344.00	67091.00	62292.00	61801.00	68971.00	57476.00	66372.00	55316.00	50480.00	65842.00	60058.00	62845.00	67540.00	66300.00	61547.00	65655.00	67114.00	59100.00	54925.00	52141.00	52543.00
4161	Cherokee County Board of Commissioners	Active	Y	9	Atlanta, GA	MB	DO																																																																									1267.00	1294.00	1285.00	1560.00	1700.00	2045.00	2346.00	1980.00	2249.00	2029.00	1425.00	1475.00	1389.00	1374.00	1498.00	1839.00	1640.00	2231.00	2038.00	1717.00	1631.00	1692.00	1575.00	1434.00																																																
4177	Buckhead Community Improvement District	Active	N	9	Atlanta, GA	CB	DO																																																																																																																																																
4177	Buckhead Community Improvement District	Active	N	9	Atlanta, GA	MB	PT																																																																																					10669.00	10125.00	10857.00	10880.00	10335.00	12525.00	12904.00	12110.00	10877.00	12404.00	10813.00	11644.00	11644.00	9335.00	10986.00	9998.00	9644.00	11601.00	11878.00	12052.00	10998.00	11105.00	10114.00	8974.00	7846.00	9681.00	11921.00	11211.00	11108.00	12341.00	11508.00	12907.00	11731.00	12149.00	12176.00	11485.00	11485.00	10429.00	11252.00	10640.00	11411.00	10855.00	9421.00	11003.00	8989.00	11183.00	9569.00	11183.00	9165.00	8812.00	9142.00	10084.00	10364.00	9283.00	10244.00	10354.00	9381.00	8134.00	8105.00	8475.00
4203	Enterprise Rideshare	Active	N	9	Atlanta, GA	VP	DO																																																																																																																																					25206.00	22239.00	23671.00	23994.00	24771.00	22040.00	22448.00	23376.00	21247.00	23284.00	17588.00	15771.00
